rank	yeast_gene	ensemble_score
565	YOR001W	0.532761
566	YCL061C	0.531981
567	YAL011W	0.531591
568	YPL248C	0.531591
569	YPL256C	0.531201
570	YIL035C	0.529641
571	YHR202W	0.528471
572	YNR031C	0.527301
573	YCR065W	0.526911
574	YDR310C	0.526521
575	YDR098C	0.526131
576	YKL054C	0.525741
577	YPL127C	0.525741
578	YOR191W	0.525351
579	YBR182C	0.524961
580	YDL051W	0.524571
581	YNL167C	0.524571
582	YLR074C	0.524571
583	YDR330W	0.524181
584	YOR039W	0.524181
585	YER030W	0.523791
586	YGR157W	0.521841
587	YHR066W	0.521451
588	YLR180W	0.518721
589	YGR208W	0.518721
590	YLR329W	0.518331
591	YDR490C	0.517941
592	YIL119C	0.517551
593	YLL013C	0.517551
594	YBL009W	0.516771
595	YIR002C	0.516771
596	YDL216C	0.516381
597	YER089C	0.515601
598	YGR003W	0.515211
599	YDR158W	0.514041
600	YDR469W	0.514041
601	YDL006W	0.514041
602	YDR482C	0.513651
603	YJL048C	0.513651
604	YMR145C	0.512480
605	YLR210W	0.511700
606	YPR023C	0.511700
607	YJL095W	0.510530
608	YDL002C	0.510140
609	YDL070W	0.510140
610	YDL056W	0.509360
611	YCR008W	0.507410
612	YMR223W	0.507410
613	YMR075W	0.507020
614	YGL133W	0.504680
615	YLR364W	0.503120
616	YNL116W	0.501950
617	YDR244W	0.501170
618	YKL002W	0.500780
619	YJL206C	0.500780
620	YOR033C	0.500390
621	YLR182W	0.500000
622	YFL049W	0.499610
623	YIL040W	0.498830
624	YMR106C	0.498050
625	YHL002W	0.498050
626	YKL041W	0.497270
627	YNL330C	0.497270
628	YLR335W	0.496880
629	YKL068W	0.496490
630	YBL103C	0.495710
631	YJR060W	0.495320
632	YDL088C	0.495320
633	YGR040W	0.495320
634	YMR067C	0.494930
635	YLR043C	0.494540
636	YKL038W	0.493760
637	YKL110C	0.493760
638	YJL110C	0.493370
639	YML061C	0.492200
640	YNL016W	0.492200
641	YDR026C	0.491420
642	YDR306C	0.491030
643	YGL162W	0.490250
644	YDR323C	0.488690
645	YPR046W	0.488690
646	YGL035C	0.488300
647	YOR231W	0.486739
648	YOL115W	0.486739
649	YCR014C	0.486349
650	YNL020C	0.485569
651	YHR178W	0.485569
652	YHR081W	0.484789
653	YPL038W	0.484009
654	YER063W	0.484009
655	YDR073W	0.482839
656	YOL045W	0.482839
657	YPL144W	0.482449
658	YHL034C	0.482449
659	YIL084C	0.482059
660	YMR055C	0.481669
661	YDR006C	0.479719
662	YOR233W	0.479719
663	YNL138W	0.479329
664	YLR055C	0.478549
665	YLR148W	0.478549
666	YER176W	0.478549
667	YHR111W	0.478549
668	YLR192C	0.478159
669	YPL015C	0.477769
