rank	yeast_gene	ensemble_score
454	YBR212W	0.635335
455	YEL013W	0.634165
456	YDR059C	0.634165
457	YGL133W	0.633775
458	YDR451C	0.633385
459	YMR012W	0.632995
460	YAL040C	0.632995
461	YLR210W	0.632605
462	YLR228C	0.631825
463	YOR123C	0.631825
464	YNL021W	0.631435
465	YDR490C	0.631045
466	YPR042C	0.630655
467	YGR080W	0.629875
468	YHR006W	0.628315
469	YGR044C	0.627145
470	YHR079C	0.624415
471	YLR131C	0.623245
472	YJL089W	0.623245
473	YMR255W	0.622855
474	YKR039W	0.622855
475	YMR224C	0.622075
476	YKR060W	0.621295
477	YDL035C	0.621295
478	YJL098W	0.621295
479	YDR079C-A	0.620515
480	YIL095W	0.617395
481	YDR495C	0.617395
482	YKR023W	0.616615
483	YPR152C	0.615835
484	YML121W	0.615445
485	YOR025W	0.615445
486	YNR032W	0.613885
487	YJL056C	0.613495
488	YJL110C	0.612324
489	YJR014W	0.610374
490	YBL047C	0.610374
491	YOR339C	0.609594
492	YCR028C-A	0.605694
493	YIL009C-A	0.605694
494	YAL013W	0.605304
495	YDR146C	0.604134
496	YBL008W	0.603744
497	YBR082C	0.602574
498	YGL035C	0.602574
499	YBL039C	0.601794
500	YBL057C	0.601014
501	YGR135W	0.601014
502	YNL227C	0.599844
503	YPL100W	0.599454
504	YLR133W	0.599064
505	YPL199C	0.598674
506	YLR266C	0.597504
507	YGL014W	0.597114
508	YMR129W	0.597114
509	YNL027W	0.595944
510	YIL072W	0.595944
511	YOL115W	0.593994
512	YPR184W	0.593604
513	YBR095C	0.593604
514	YGR122W	0.593604
515	YOR112W	0.592824
516	YKL043W	0.592824
517	YJL036W	0.592434
518	YOL042W	0.592434
519	YGL252C	0.592044
520	YJR140C	0.591264
521	YGL003C	0.590484
522	YMR287C	0.587363
523	YHR152W	0.586583
524	YMR223W	0.586193
525	YNR010W	0.585803
526	YPL031C	0.585413
527	YDR259C	0.584633
528	YER106W	0.584243
529	YLR113W	0.583463
530	YMR067C	0.583073
531	YPL149W	0.583073
532	YOR032C	0.583073
533	YDR283C	0.582683
534	YMR065W	0.582683
535	YOR243C	0.582683
536	YDL002C	0.579953
537	YEL018W	0.579563
538	YOR140W	0.577613
539	YNL230C	0.576833
540	YHR135C	0.576053
541	YOR173W	0.575273
542	YDR306C	0.574883
543	YKR092C	0.574493
544	YCR087C-A	0.573713
545	YNL128W	0.573323
546	YER075C	0.570203
547	YBL024W	0.569423
548	YDL127W	0.569033
549	YDL230W	0.566693
550	YDL101C	0.566303
551	YOL004W	0.565133
552	YNL155W	0.563963
553	YHR030C	0.563573
554	YIR023W	0.563573
555	YNL167C	0.561232
556	YOR338W	0.560842
557	YHR193C	0.559672
558	YLR180W	0.558892
559	YLL010C	0.558502
560	YNL311C	0.558112
561	YGL237C	0.557722
562	YGL192W	0.557332
563	YER164W	0.556162
564	YDR315C	0.555772
565	YIL131C	0.555382
566	YDR099W	0.554992
567	YHR171W	0.554992
568	YNL213C	0.553042
569	YGL240W	0.552652
570	YDL138W	0.552262
571	YAL054C	0.551872
572	YCR014C	0.550702
573	YKR095W	0.549142
574	YNL030W	0.548752
575	YPR052C	0.548362
576	YCR065W	0.548362
577	YDR213W	0.547972
578	YHR003C	0.546802
579	YER027C	0.544852
580	YOR371C	0.544852
581	YLL039C	0.544462
582	YBR278W	0.544072
583	YGL174W	0.543292
584	YML128C	0.543292
585	YKL149C	0.542512
586	YPL015C	0.542512
587	YLR335W	0.542122
588	YGL115W	0.541342
589	YPL181W	0.541342
