rank	yeast_gene	ensemble_score
285	YJL036W	-0.593018707
286	YDR079C-A	-0.593018708
287	YGL151W	-0.593018709
288	YCR008W	-0.593018710
289	YFR040W	-0.593018711
290	YOR140W	-0.593018712
291	YJL073W	-0.593018713
292	YLR368W	-0.593018714
293	YKL213C	-0.593018715
294	YGR249W	-0.593018716
295	YLR377C	-0.593018717
296	YGL240W	-0.593018718
297	YBL019W	-0.593018719
298	YOR124C	-0.593018720
299	YML076C	-0.593018721
300	YPL101W	-0.593018722
301	YOR354C	-0.593018723
302	YKL091C	-0.593018724
303	YBR111W-A	-0.593018725
304	YLR131C	-0.593018726
305	YOR346W	-0.593018727
306	YOL001W	-0.593018728
307	YMR261C	-0.593018729
308	YHR032W	-0.593018730
309	YGL252C	-0.593018731
310	YHR127W	-0.593018732
311	YGR208W	-0.593018733
312	YJL206C	-0.593018734
313	YLL042C	-0.593018735
314	YKL206C	-0.593018736
315	YDR001C	-0.593018737
316	YDR179C	-0.593018738
317	YJR119C	-0.593018739
318	YKL010C	-0.593018740
319	YBR125C	-0.593018741
320	YIL016W	-0.593018742
321	YLR329W	-0.593018743
322	YCR020C-A	-0.593018744
323	YER051W	-0.593018745
324	YMR285C	-0.593018746
325	YGR180C	-0.593018747
326	YDR005C	-0.593018748
327	YLL039C	-0.593018749
328	YML102W	-0.593018750
329	YPL045W	-0.593018751
330	YPL144W	-0.593018752
331	YNR010W	-0.593018753
332	YGL035C	-0.593018754
333	YER100W	-0.593018755
334	YCR053W	-0.593018756
335	YKR017C	-0.593018757
336	YJR084W	-0.593018758
337	YPL065W	-0.593018759
338	YMR223W	-0.593018760
339	YMR019W	-0.593018761
340	YOL080C	-0.593018762
341	YDR463W	-0.593018763
342	YOL090W	-0.593018764
343	YAL039C	-0.593018765
344	YDR458C	-0.593018766
345	YLL010C	-0.593018767
346	YBR285W	-0.593018768
347	YGL071W	-0.593018769
348	YLR357W	-0.593018770
349	YGL241W	-0.593018771
350	YER089C	-0.593018772
351	YNL076W	-0.593018773
352	YNL213C	-0.593018774
353	YPR160W	-0.593018775
354	YJL048C	-0.593018776
355	YCR014C	-0.593018777
356	YLR256W	-0.593018778
357	YBR058C	-0.593018779
358	YNL210W	-0.593018780
359	YAL056W	-0.593018781
360	YPR189W	-0.593018782
361	YIL146C	-0.593018783
362	YDR156W	-0.593018784
363	YDR457W	-0.593018785
364	YPR009W	-0.593018786
365	YDR363W-A	-0.593018787
366	YFR019W	-0.593018788
367	YIL038C	-0.593018789
368	YER092W	-0.593018790
369	YGL127C	-0.593018791
370	YGL181W	-0.593018792
371	YOL136C	-0.593018793
372	YPL176C	-0.593018794
373	YCL011C	-0.593018795
374	YDL216C	-0.593018796
375	YLR231C	-0.593018797
376	YBL010C	-0.593018798
377	YOL108C	-0.593018799
378	YPL202C	-0.593018800
379	YCR086W	-0.593018801
380	YCR065W	-0.593018802
381	YEL037C	-0.593018803
382	YDL056W	-0.593018804
383	YKL041W	-0.593018805
384	YNL142W	-0.593018806
385	YMR276W	-0.593018807
386	YBR276C	-0.593018808
387	YDR143C	-0.593018809
388	YBR089C-A	-0.593018810
389	YLR032W	-0.593018811
390	YOR106W	-0.593018812
391	YJR140C	-0.593018813
392	YML118W	-0.593018814
393	YFR038W	-0.593018815
394	YDR318W	-0.593018816
395	YGL166W	-0.593018817
396	YOR304W	-0.593018818
397	YDR213W	-0.593018819
398	YBL056W	-0.593018820
399	YCR091W	-0.593018821
400	YPL001W	-0.593018822
401	YHR202W	-0.593018823
402	YIL017C	-0.593018824
403	YMR216C	-0.593018825
404	YIR033W	-0.593018826
405	YJR091C	-0.593018827
406	YPL186C	-0.593018828
407	YFL014W	-0.593018829
408	YER167W	-0.593018830
409	YGL004C	-0.593018831
410	YOR191W	-0.593018832
411	YDR513W	-0.593018833
412	YML029W	-0.593018834
413	YNL239W	-0.593018835
414	YAL015C	-0.593018836
415	YMR202W	-0.593018837
416	YMR312W	-0.593018838
417	YLR059C	-0.593018839
418	YGR133W	-0.593018840
419	YLR234W	-0.593018841
420	YMR231W	-0.593018842
421	YGR288W	-0.593018843
422	YGR209C	-0.593018844
423	YKL005C	-0.593018845
424	YMR302C	-0.593018846
425	YLR304C	-0.593018847
426	YJL106W	-0.593018848
427	YPL031C	-0.593018849
428	YNL136W	-0.593018850
429	YEL009C	-0.593018851
430	YMR105C	-0.593018852
431	YMR036C	-0.593018853
432	YJR099W	-0.593018854
433	YLR309C	-0.593018855
434	YPL120W	-0.593018856
435	YLL040C	-0.593018857
436	YNR074C	-0.593018858
437	YJR110W	-0.593018859
